soal,opsi_a,opsi_b,opsi_c,opsi_d,jawaban_benar
Hewan pemakan tumbuhan disebut ...,Herbivora,Karnivora,Omnivora,Insektivora,Herbivora
Gunung tertinggi di Indonesia adalah ...,Puncak Jaya,Semeru,Rinjani,Kerinci,Puncak Jaya
Bentuk bumi adalah ...,Bulat,Kotak,Segitiga,Lonjong,Bulat
Perubahan wujud dari air menjadi uap disebut ...,Penguapan,Pembekuan,Pencairan,Penyubliman,Penguapan
Planet terbesar di tata surya adalah ...,Jupiter,Saturnus,Mars,Bumi,Jupiter
Planet terbesar di tata surya adalah ...,Jupiter,Saturnus,Mars,Bumi,Jupiter
Bentuk bumi adalah ...,Bulat,Kotak,Segitiga,Lonjong,Bulat
Hewan pemakan tumbuhan disebut ...,Herbivora,Karnivora,Omnivora,Insektivora,Herbivora
Gunung tertinggi di Indonesia adalah ...,Puncak Jaya,Semeru,Rinjani,Kerinci,Puncak Jaya
Ibukota Indonesia adalah ...,Jakarta,Bandung,Surabaya,Medan,Jakarta
Perubahan wujud dari air menjadi uap disebut ...,Penguapan,Pembekuan,Pencairan,Penyubliman,Penguapan
Lambang negara Indonesia adalah ...,Garuda Pancasila,Bintang Kejora,Singa Emas,Merpati Putih,Garuda Pancasila
Gunung tertinggi di Indonesia adalah ...,Puncak Jaya,Semeru,Rinjani,Kerinci,Puncak Jaya
Gunung tertinggi di Indonesia adalah ...,Puncak Jaya,Semeru,Rinjani,Kerinci,Puncak Jaya
Lambang negara Indonesia adalah ...,Garuda Pancasila,Bintang Kejora,Singa Emas,Merpati Putih,Garuda Pancasila
Gunung tertinggi di Indonesia adalah ...,Puncak Jaya,Semeru,Rinjani,Kerinci,Puncak Jaya
Lambang negara Indonesia adalah ...,Garuda Pancasila,Bintang Kejora,Singa Emas,Merpati Putih,Garuda Pancasila
Proklamasi Kemerdekaan Indonesia dibacakan pada tahun ...,1945,1950,1940,1935,1945
Gunung tertinggi di Indonesia adalah ...,Puncak Jaya,Semeru,Rinjani,Kerinci,Puncak Jaya
Perubahan wujud dari air menjadi uap disebut ...,Penguapan,Pembekuan,Pencairan,Penyubliman,Penguapan
Lambang negara Indonesia adalah ...,Garuda Pancasila,Bintang Kejora,Singa Emas,Merpati Putih,Garuda Pancasila
Planet terbesar di tata surya adalah ...,Jupiter,Saturnus,Mars,Bumi,Jupiter
Bentuk bumi adalah ...,Bulat,Kotak,Segitiga,Lonjong,Bulat
Pahlawan nasional yang dikenal dengan julukan 'Bapak Pendidikan' adalah ...,Ki Hajar Dewantara,Soekarno,Hatta,Cut Nyak Dien,Ki Hajar Dewantara
Planet terbesar di tata surya adalah ...,Jupiter,Saturnus,Mars,Bumi,Jupiter
Gunung tertinggi di Indonesia adalah ...,Puncak Jaya,Semeru,Rinjani,Kerinci,Puncak Jaya
